İL KAYIT NO,İLÇE KAYIT NO,BELDE/ KÖY KAYIT NO,MAHALLE KAYIT NO,İL ADI,İLÇE ADI,BELEDİYE ADI,MAHALLE ADI,MEDENİ DURUM,TOPLAM,ERKEK,KADIN,yıl,BELDE/KÖY ADI
6,1130,2429,1502,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARACAÖREN,EŞİ ÖLDÜ,321.0,59.0,262.0,2022,
6,1130,2429,1503,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KAVAKLI,HİÇ EVLENMEDİ,167.0,106.0,61.0,2022,
6,1130,2429,1503,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KAVAKLI,EVLİ,477.0,254.0,223.0,2022,
6,1130,2429,1503,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KAVAKLI,BOŞANDI,,,,2022,
6,1130,2429,1503,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KAVAKLI,EŞİ ÖLDÜ,43.0,,,2022,
6,1130,2429,1504,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,PEÇENEK,HİÇ EVLENMEDİ,115.0,71.0,44.0,2022,
6,1130,2429,1504,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,PEÇENEK,EVLİ,300.0,153.0,147.0,2022,
6,1130,2429,1504,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,PEÇENEK,BOŞANDI,,,,2022,
6,1130,2429,1504,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,PEÇENEK,EŞİ ÖLDÜ,38.0,,,2022,
6,1130,2429,1505,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,TATLAR,HİÇ EVLENMEDİ,63.0,38.0,25.0,2022,
6,1130,2429,1505,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,TATLAR,EVLİ,166.0,92.0,74.0,2022,
6,1130,2429,1505,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,TATLAR,BOŞANDI,,,,2022,
6,1130,2429,1505,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,TATLAR,EŞİ ÖLDÜ,,,,2022,
6,1130,2429,1506,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACI BAYRAM,HİÇ EVLENMEDİ,5674.0,4426.0,1248.0,2022,
6,1130,2429,1506,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACI BAYRAM,EVLİ,1014.0,398.0,616.0,2022,
6,1130,2429,1506,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACI BAYRAM,BOŞANDI,708.0,353.0,355.0,2022,
