No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
4_10_31,,"39.925524008845834, 32.872731745859426",8125-04-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925524008845834,32.872731745859426,ÇAMLITEPE,4
4_10_32,,"39.92570768181946, 32.87263557654441",8125-05-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:5, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92570768181946,32.87263557654441,ÇAMLITEPE,4
4_10_33,,"39.92583056793102, 32.87243638144159",8125-06-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:3, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92583056793102,32.87243638144159,ÇAMLITEPE,4
4_10_34,,"39.92573570193052, 32.873318664864904",8124-05-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:56, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92573570193052,32.873318664864904,ÇAMLITEPE,4
4_10_35,,"39.9255720286838, 32.87322699721781",8124-04-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:54, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.9255720286838,32.87322699721781,ÇAMLITEPE,4
4_10_36,,"39.92542911869026, 32.87328578071612",8124-03-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:52, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,39.92542911869026,32.87328578071612,ÇAMLITEPE,4
4_10_37,,"39.92538540967817, 32.87357664587546",8124-08-01 00:00:00,"Çamlıtepe, Çolak Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92538540967817,32.87357664587546,ÇAMLITEPE,4
4_10_38,,"39.92557876127259, 32.87377781154347",8124-07-01 00:00:00,"Çamlıtepe, Çolak Sk. No:5, 06590 Çankaya/Ankara",Konut,2.0,Değil,,,,,Dönem yapısı?,39.92557876127259,32.87377781154347,ÇAMLITEPE,4
4_10_39,,"39.9257265248874, 32.87370223236626",8124-06-01 00:00:00,"Çamlıtepe, Şht. Güler Sok. No:4, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.9257265248874,32.87370223236626,ÇAMLITEPE,4
4_10_40,İhsan Vakfı Akif Emre Erkek Öğrenci Yurdu,"39.92543855485017, 32.87418502996949",8123/21,"Çamlıtepe, Çolak Sk. No:12, 06590 Çankaya/Ankara",Yurt,4.0,Değil,,,,,,39.92543855485017,32.87418502996949,ÇAMLITEPE,4
4_10_41,,"39.92528521956824, 32.874353440122064",8123/18,"Çamlıtepe, Şht. Gülersin Sk. No:23, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92528521956824,32.874353440122064,ÇAMLITEPE,4
4_10_42,,"39.925071909828844, 32.874164828084375",8123/19,"Çamlıtepe, Şht. Gülersin Sk. No:19, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925071909828844,32.874164828084375,ÇAMLITEPE,4
4_10_43,,"39.924983461172026, 32.87407631519045",8123/15,"Çamlıtepe, Şht. Gülersin Sk. No:17, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.924983461172026,32.87407631519045,ÇAMLITEPE,4
4_10_44,,"39.92487444290287, 32.873832234179936",8123/16,"Çamlıtepe, Şht. Gülersin Sk. No:15, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92487444290287,32.873832234179936,ÇAMLITEPE,4
4_10_45,,"39.92472198217483, 32.873663630516894",8123/17,"Çamlıtepe, Şht. Gülersin Sk. No:14, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92472198217483,32.873663630516894,ÇAMLITEPE,4
4_10_46,,"39.924714253044904, 32.87344955260593",8123-01-01 00:00:00,"Çamlıtepe, Tepealtı Sk. No:52, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.924714253044904,32.87344955260593,ÇAMLITEPE,4
4_10_48,,"39.92506339594222, 32.87330121457518",8123-03-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:48, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Buse yıkılmış olarak işaretlemiş. Kontrol edilecek.,39.92506339594222,32.87330121457518,ÇAMLITEPE,4
4_10_49,,"39.92522319587502, 32.873316147708806",8123-04-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:50, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92522319587502,32.873316147708806,ÇAMLITEPE,4
4_10_50,,"39.92524582220729, 32.87333760538006",8123-05-01 00:00:00,"Çamlıtepe, Çolak Sk. No:4, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.92524582220729,32.87333760538006,ÇAMLITEPE,4
4_10_51,,"39.925195147810214, 32.87345779851798",8123-06-01 00:00:00,"Çamlıtepe, Çolak Sk. No:6, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.925195147810214,32.87345779851798,ÇAMLITEPE,4
4_10_52,,"39.92509186299885, 32.87366172668303",8123-02-01 00:00:00,,Konut,1.0,Değil,,,,,Eski yapı. Gecekondu?,39.92509186299885,32.87366172668303,,4
4_10_53,Safa Vakfı Yükseköğrenim Kız Öğrenci Yurdu,"39.92524829112161, 32.87367440334675",8123/20,"Çamlıtepe, Çolak Sk. No:8, 06590 Çankaya/Ankara",Yurt,4.0,Değil,,,,,,39.92524829112161,32.87367440334675,ÇAMLITEPE,4
4_10_54,,"39.92525743749854, 32.87485532563581",8128-12-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:38, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92525743749854,32.87485532563581,ÇAMLITEPE,4
4_10_55,,"39.92492165430559, 32.874486228068285",8128-02-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:34, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.92492165430559,32.874486228068285,ÇAMLITEPE,4
4_10_56,,"39.92476054308119, 32.874155173590246",8118-06-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? ,39.92476054308119,32.874155173590246,ÇAMLITEPE,4
4_10_57,,"39.92455578223476, 32.87402321703981",8118-11-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:26, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92455578223476,32.87402321703981,ÇAMLITEPE,4
4_10_58,,"39.92416761026359, 32.87266349678411",5586/13,"Çamlıtepe, Şht. Gülersin Sk. No:4, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? ,39.92416761026359,32.87266349678411,ÇAMLITEPE,4
